userName,score,at,content
Bambang Suhadi,5,2026-05-07 07:12:10,"alhamdulillah.sudah selesai dengan aman.terimakasih.ternyata mudah.ga harus antri,ga keluar rumah dan dimana aja cara isi datanya,ga macet, pokoknya ga ribett deh.dan tinggal tunggu dirumah 3 hr dah nyampe di rumah.makasih pelayanan a.semoga makin Jaya."
Boy Raven,5,2026-05-07 06:26:43,sumpah ini sangat membantu untuk kita yang tidak ada waktu karena kesibukan bekerja mengabdi pada cina. terimakasih samsat praktis dan efisien tingkatkan terus pelayanan semoga ganti nama kepemilikan dan mutasi juga bisa dilakukan secara online GOOD JOB !!!!!!
вoяяyιιiαиz,5,2026-05-07 06:11:07,"lumayan keren, tgl 5 download apk, daftar karena tgl terakhir bayar , tgl 7 sampe rumah... mantaf sistem gercep, kurir gercep.. 👍🏿"
Andri Ramdani,5,2026-05-07 05:24:13,biar bintang yg menjawabnya
Tasrip,5,2026-05-07 05:12:39,"Saya tinggal di perantauan jadi sangat membantu, terimakasih."
J Ahmad,1,2026-05-07 04:57:16,"mau bayar pajak tapi selalu muncul notifikasi ""Gagal, layanan tidak tersedia"", Solusinya gimana?"
Yusriman Yahya,1,2026-05-07 04:37:14,"Apk nya apaan dah, sistemnya gagal mulu klu mau bayar pajak. heran dah"
Mulia Yuli,5,2026-05-07 04:30:28,cepat dan lebih mudah
Ridwan,4,2026-05-07 03:57:32,"sampai Dengan aman STNK nya,walaupun harus menunggu lumayan lama"
Susi Susi Susi lawati,5,2026-05-07 03:35:00,"tolong di benahi,pertama perpnjng pajak normal 10hari nympe,sekrang udah ke 2 kalinya prpnjng, udah 10hari masih proses emng membantu bnget buat yg di perantauan, cman pelacakannya di update di percepat kasian orng yg menunggu kelamaan msa di proses mulu, chat cs jarang di konfirmasi mohon di perbaiki ya biar tdak pada kecewa,"
Aldafi Fahmi,3,2026-05-07 03:31:30,ongkir mahal malah kena biaya admin lagi
Obet Wae,1,2026-05-07 03:05:18,apakah apk nya lagi gangguan?gak bisa di buka untuk bayar pajak selalu eror untuk wilayah jambi
Ahmadi,5,2026-05-07 02:44:55,pengalaman yang kedua bayar pakai apk ini
irfan hilmi,5,2026-05-07 02:26:47,sangat bermanfaat bagi kaum pekerja seperti saya. tinggal isi data lalu bayar dan tunggu di rumah. semoga bisa maksimal lagi kedepan nya
paisal haja,5,2026-05-07 01:52:18,"terimakasih SIGNAL, jadi mudah bayar pajak tahunan lewat online, cukup di rumah saja dan proses juga mudah."
Zurya Zaki,5,2026-05-07 01:40:45,"mantab, makin canggih"
Lesmana Arya,5,2026-05-07 01:16:15,terimakasih sangat membantu
Nafilah Iffah,2,2026-05-07 00:55:19,"daftar kendaraannya susah, gagal terus. udh cek semua data bener, ganti data milik sendiri maupun milik keluarga satu kk juga ga bisa. tapi pas cek ranmor ada."
jaja kiki,5,2026-05-07 00:22:31,baguss tapi tolong di tingkatkan lagi fitur live chat nya dan juga proses nya agak di percepat karena saya pesan express kilat sampe 3 hari
Aman Disya,1,2026-05-07 00:05:37,"bukanya lebih baik malah lebih buruk, padahal udah pernah bayar disini tapi sekarang tidak bisa gagal terus no rangka beda lah ,ada2 aja"
Imam Hakiki,5,2026-05-07 00:01:45,"terimaksih atas mudahnya membayar pajak.terhitung dari pembayarn sampai stnk di kirim dan sampai kerumah hanya 3 hari kerja.tanggal merah,sabtu dan minggu gak saya hitung ya kawan"
Hansler Herludca,1,2026-05-06 22:14:40,"gagal mulu,malah di suruh ke.samsat terdekat"
Setiyan Two,5,2026-05-06 18:21:40,mempermudah untuk membayar pajak kendaraan kalau bisa apknya untuk mempermudah pergantian plat
Frandi Sitompul PT. Jevans PM,5,2026-05-06 16:17:30,"simple,praktis dan Bagus"
gusma gama,5,2026-05-06 15:25:49,mohon perbaikan untuk database kode pos lampung selatan yang masih menggunakan kode pos lama yang berbeda dengan kode pos keluaran kantor pos
San Han,5,2026-05-06 15:05:22,Great
Samsul Arip,5,2026-05-06 14:52:57,"aplikasi sangat membantu banget,,, tanpa calo bayar pajak aman berkas juga aman diantar sampai rumah GK perlu ribet antri,, parkir, sat set pokoknya."
suryadi Adie,5,2026-05-06 14:34:01,ok
ade kartika,5,2026-05-06 13:26:59,"Bersyukur bgt ada apk ini, jd mempermudahh"
Wahyu Hidayat,5,2026-05-06 12:47:22,"Alhamdulillah, proses cepat dan amanah terimakasih"
galih ardiyanto,5,2026-05-06 12:27:44,"perdana bayar online, bisa mudah dan cepat. mudah""an next bisa cepet terus apl nya gk lemot"
abdul,5,2026-05-06 12:26:33,"mantap, cepat dan tepat."
Handih,5,2026-05-06 12:02:54,"makasih Signal.. Dengan kemudahannya bayar pajak online dan pengiriman ke alamat domisili kerja , saya jadi tidak harus pulang ke jakarta. makasih..."
tofa mustofa,5,2026-05-06 12:02:44,bayar pajak tahunan jadi lebih mudah dan praktis. tidak perlu antri ke loket
zil loidsman,5,2026-05-06 11:49:57,bagus sangat mudah
Suyadi Suyadi,5,2026-05-06 11:23:14,okee...
aa UL,5,2026-05-06 11:07:02,"gak ribet jadi gak perlu antri ,diantar sampai depan pintu 😁"
tanu Wibowo,4,2026-05-06 10:57:45,"cukup membantu untuk mempermudah kita yang kebetulan sedang diluar kota, tapi mohon ditingkatkan lagi untuk proses pengirimannya soalnya terlalu lama sampai 6 hari dari proses pembayaran sampai terima dokumenya... terimaksih🙏"
NSA Nangka raya,5,2026-05-06 10:12:27,bagus dan gercep. terimakasih sangat membantu
Gie Tugie,5,2026-05-06 09:47:45,"pertama kali perpanjang STNK lewat online, proses nya gampang.. tidak ada seminggu STNK sudah diterima, aplikasi SIGNAL ini sangat membantu,, terima kasih"
oelant purple,5,2026-05-06 09:42:44,Alhamdulillah ud 2x pakai aplikasi ini buat pajak tahunan stnk. Terima kasih sudah memudahkan prosesnya
Ratna Kartika,5,2026-05-06 09:38:04,pelayanan nya cepet
Wandi Wandoss,1,2026-05-06 09:16:07,aplikasi sampah mau lapor jual masalah aplisi tidak ada dukungan.dalam pengembangan dari 5tahun yg begini saja gk ada kemajuan
Alfian Syah,5,2026-05-06 09:08:52,cepat terbaik.
Mochamad Taofik,5,2026-05-06 09:06:57,pas mantab banget.
Idris Apandi,5,2026-05-06 08:43:58,ok
Setia Bakti Christian,1,2026-05-06 08:12:16,ga bisa nambahin kendaraan cok
Nurul Adeliyani,2,2026-05-06 08:10:08,"Kak maaf aku mau bayar pajak tahunan , aku sudah download APK udah masukin data dan buat aku juga tapi pas mau pengecekan/pembayaran pajak kenapa selalu gagal ya kak ...? tolong pencerahanya dong kak,. Makasih🙏🏻"
AM,5,2026-05-06 07:55:38,Aplikasi nya sudah bagus dan stabil. Namun saran utk Korlantas terkait pengiriman bukti pajak kendaraan tolong dikasihkan juga sampul plastik stnk nya karena rawan rusak dokumen nya.
catur jati,5,2026-05-06 07:46:08,Sangat membantu dan efektif.
βhonJoeL (βhonJoeL),5,2026-05-06 06:57:50,"sangat memudahkan untuk membayar pajak tahunan, tidak usah repot-repot datang ke samsat. sangat recommended bagi yg ingin membayar pajak tahunan melalui aplikasi SIGNAL ini."
Irman Channel,5,2026-05-06 06:47:53,mantap SIGNAL 🫰🫰🫰
Ay2308 Ara,5,2026-05-06 06:23:50,memudahkan untuk membayar pajak motor 👍🏻👍🏻👍🏻👍🏻👍🏻
anoriz cellular,1,2026-05-06 06:23:38,"gagal menambahkan kendaraan,padahal 1 kk"
Maf putra,5,2026-05-06 05:36:56,ok banget dan sangat membantu
Jason26 Ecen,5,2026-05-06 05:33:41,sangat membantu sekali bermanfaat terimah kasih.
muhamad fadli delpiero,4,2026-05-06 05:25:47,"verifikasi data lama, tolong segera diperbaiki"
rika astuti,5,2026-05-06 05:03:05,terima kasih dokumen sudah saya terima aplikasi signal ini sangat bermanfaat serta membantu banget...🙏🙏
Yudhii nastiia,1,2026-05-06 04:47:19,gimana mau bayar pajak.. verifikasi data aja selalu eror payah!!!
kevin bahagia,5,2026-05-06 04:44:11,Good luck
Sari Rapet,5,2026-05-06 04:43:19,sangat memudahkan dalam pembayaran jadi tidak perlu datang ke samsat
Niko Pengkuh,2,2026-05-06 04:40:46,setiap bayar pajak layanan tidak tersedia.. harus nambah kendaraan manual ga otomatis seperti apk Sapa warga jawa barat
Andy Hermana,5,2026-05-06 04:34:03,"sangat membantu bagett, gk perlu repot antri"
Sudarno,5,2026-05-06 03:42:23,"aplikasi yang memudahkan pembayaran pajak dll. sukses selalu, maju terus indonesia"
Leonardo Agusto,1,2026-05-06 02:25:11,"saya dari kaltim tidak bisa mendaftar, apakah daerah kalimantan timur memang belum bisa?"
MY,5,2026-05-06 01:22:19,sangat membantu dengan sistem ini tidak perlu datang terimakasih namun pelacakan dokumen sampe mana tidak bisa di cek dan pengirimannya lumayan lama 2 mingguan baru sampe.
Agung fidriyanto,5,2026-05-06 00:57:26,"istimiwir aplikasi nya,, semoga bertahan terus tentang pelayanan publik ini,, dan siapa tau kedepan nya bisa buat pembayaran pajak yg telat."
Budi Trianto,5,2026-05-05 23:58:37,mantaplah
Dadasiti Nuraeni,3,2026-05-05 23:31:22,"aku suka ada pelayanan ini, dan selalu pake. tapi syangnya lama beut progress nya. yg terakhir nih transaksi selesai di bulan april, bulan mei baru di kirim😭"
Ridwan Zaelani,4,2026-05-05 23:00:44,"untuk pengiriman fisiknya kalo bisa dipercepat, maksimal 3 hari sudah sampai."
Marfian Dwi P,5,2026-05-05 18:02:31,Perdana bayar pajak Online. Mantap betull .. semoga tahun depan lebih baik lagi 👏🏻
Abu,1,2026-05-05 17:54:23,"sekelas aplikasi nasional loh ini masa gua mau cek pajak error terus aneh banget, mana ribet pula udah buat komplain via email kirain mau di bener tetep aja masi error"
Muhamad Rendi Gunawan,5,2026-05-05 17:46:55,mudah dan cepat proses nya tgl 28 April 2026 bayar pajak dan tgl 5 mei 2026 sudah di antar ke rumah
arifin ahmad,5,2026-05-05 15:25:01,sangat membantu bagi para pekerja. trima kasih Samsat Polda.
Muhammad Fadil,3,2026-05-05 14:55:35,ini kenapa di live chat nya slow respon tolong dj perbaiki
Nurul Mulya,5,2026-05-05 13:53:31,"sangat senang sekali karena dengan aplikasi ini, saya jadi bisa bayar pajak lewat online"
AF RIYANDI,5,2026-05-05 13:25:14,pengiriman cepat..
Nurachim Urip,5,2026-05-05 12:53:22,semoga makin baik
